Sensor Type,Signal Processing Technique,Track Parameter or Irregularity,Shared References,References
Axle box accelerations (ABA),Band-pass,Track geometry,4,"28, 32, 33, 53"
Axle box accelerations (ABA),Band-pass,Longitudinal level,2,"32, 33"
Axle box accelerations (ABA),Band-pass,Alignment,3,"32, 33, 53"
Axle box accelerations (ABA),Band-pass,Cant,1,53
Axle box accelerations (ABA),Band-pass,Corrugation,1,59
Axle box accelerations (ABA),Butterworth filter,Track geometry,2,"32, 51"
Axle box accelerations (ABA),Butterworth filter,Longitudinal level,1,32
Axle box accelerations (ABA),Butterworth filter,Alignment,2,"32, 51"
Axle box accelerations (ABA),Butterworth filter,Gauge,1,51
Axle box accelerations (ABA),Butterworth filter,Joints (Insulated / Glued),2,"69, 83"
Axle box accelerations (ABA),Butterworth filter,Squats,1,69
Axle box accelerations (ABA),Double integration,Track geometry,2,"28, 51"
Axle box accelerations (ABA),Double integration,Longitudinal level,2,"25, 50"
Axle box accelerations (ABA),Double integration,Alignment,2,"25, 51"
Axle box accelerations (ABA),Double integration,Gauge,1,51
Axle box accelerations (ABA),Double integration,Corrugation,1,59
Axle box accelerations (ABA),Double integration,Track Quality and TQI,1,23
Axle box accelerations (ABA),Double integration,Squats,1,70
Axle box accelerations (ABA),Fourier transform,Track geometry,1,51
Axle box accelerations (ABA),Fourier transform,Longitudinal level,1,50
Axle box accelerations (ABA),Fourier transform,Alignment,1,51
Axle box accelerations (ABA),Fourier transform,Gauge,1,51
Axle box accelerations (ABA),Fourier transform,Corrugation,3,"57, 62, 66"
Axle box accelerations (ABA),Fourier transform,Joints (Insulated / Glued),1,69
Axle box accelerations (ABA),Fourier transform,Squats,3,"57, 69, 70"
Axle box accelerations (ABA),Hilbert–Huang transform (HHT),Track geometry,1,44
Axle box accelerations (ABA),Hilbert–Huang transform (HHT),Longitudinal level,1,44
Axle box accelerations (ABA),Hilbert–Huang transform (HHT),Track stiffness,1,14
Axle box accelerations (ABA),High-pass filter,Corrugation,1,59
Axle box accelerations (ABA),High-pass filter,Squats,1,70
Axle box accelerations (ABA),Kalman filter,Track geometry,3,"28, 33, 53"
Axle box accelerations (ABA),Kalman filter,Longitudinal level,1,33
Axle box accelerations (ABA),Kalman filter,Alignment,2,"33, 53"
Axle box accelerations (ABA),Kalman filter,Cant,1,53
Axle box accelerations (ABA),Kalman filter,Corrugation,1,59
Axle box accelerations (ABA),Kalman filter,Joints (Insulated / Glued),1,68
Axle box accelerations (ABA),Kalman filter,Track stiffness,2,"14, 79"
Axle box accelerations (ABA),Kalman filter,Squats,1,68
Axle box accelerations (ABA),Karhunen–Loève,Track Quality and TQI,1,23
Axle box accelerations (ABA),Low-pass filter,Corrugation,1,59
Axle box accelerations (ABA),Low-pass filter,Joints (Insulated / Glued),1,83
Axle box accelerations (ABA),Low-pass filter,Track Quality and TQI,1,23
Axle box accelerations (ABA),Low-pass filter,Squats,1,100
Axle box accelerations (ABA),ML and convolutional networks,Corrugation,1,57
Axle box accelerations (ABA),ML and convolutional networks,Fasteners / Rail pads,1,75
Axle box accelerations (ABA),ML and convolutional networks,Joints (Insulated / Glued),1,101
Axle box accelerations (ABA),ML and convolutional networks,Squats,3,"57, 100, 101"
Axle box accelerations (ABA),Mixed filtering approach,Track geometry,1,33
Axle box accelerations (ABA),Mixed filtering approach,Longitudinal level,1,33
Axle box accelerations (ABA),Mixed filtering approach,Alignment,1,33
Axle box accelerations (ABA),Rauch-Tung-Striebel smoother,Corrugation,1,59
Axle box accelerations (ABA),Root mean square (RMS),Track geometry,1,44
Axle box accelerations (ABA),Root mean square (RMS),Longitudinal level,1,44
Axle box accelerations (ABA),Wavelet analysis,Track geometry,1,44
Axle box accelerations (ABA),Wavelet analysis,Longitudinal level,1,44
Axle box accelerations (ABA),Wavelet analysis,Track stiffness,1,14
Axle box accelerations (ABA),Wavelet analysis,Squats,1,67
Bogie accelerations,10 m-chord versine,Track geometry,1,37
Bogie accelerations,10 m-chord versine,Longitudinal level,1,37
Bogie accelerations,Band-pass,Track geometry,4,"28, 31, 33, 53"
Bogie accelerations,Band-pass,Longitudinal level,2,"31, 33"
Bogie accelerations,Band-pass,Alignment,2,"33, 53"
Bogie accelerations,Band-pass,Cant,1,53
Bogie accelerations,Butterworth filter,Track geometry,1,40
Bogie accelerations,Butterworth filter,Longitudinal level,1,40
Bogie accelerations,Double integration,Track geometry,2,"28, 46"
Bogie accelerations,Double integration,Longitudinal level,1,46
Bogie accelerations,Double integration,Alignment,1,46
Bogie accelerations,Fourier transform,Track geometry,3,"26, 27, 41"
Bogie accelerations,Fourier transform,Longitudinal level,1,41
Bogie accelerations,Hilbert–Huang transform (HHT),Track stiffness,1,14
Bogie accelerations,Kalman filter,Track geometry,4,"28, 31, 33, 53"
Bogie accelerations,Kalman filter,Longitudinal level,2,"31, 33"
Bogie accelerations,Kalman filter,Alignment,3,"33, 53, 54"
Bogie accelerations,Kalman filter,Cant,1,53
Bogie accelerations,Kalman filter,Track stiffness,1,14
Bogie accelerations,Low-pass filter,Track geometry,1,46
Bogie accelerations,Low-pass filter,Longitudinal level,1,46
Bogie accelerations,Low-pass filter,Alignment,1,46
Bogie accelerations,ML and convolutional networks,Track geometry,2,"26, 27"
Bogie accelerations,ML and convolutional networks,Longitudinal level,2,"38, 99"
Bogie accelerations,Mixed filtering approach,Track geometry,1,33
Bogie accelerations,Mixed filtering approach,Longitudinal level,1,33
Bogie accelerations,Mixed filtering approach,Alignment,1,33
Bogie accelerations,Root mean square (RMS),Track geometry,2,"31, 41"
Bogie accelerations,Root mean square (RMS),Longitudinal level,2,"31, 41"
Bogie accelerations,Root mean square (RMS),Alignment,1,54
Bogie accelerations,Root mean square (RMS),Squats,1,71
Bogie accelerations,Wavelet analysis,Track geometry,1,27
Bogie accelerations,Wavelet analysis,Track stiffness,1,14
Car-body accelerations,10 m-chord versine,Track geometry,1,43
Car-body accelerations,10 m-chord versine,Longitudinal level,1,43
Car-body accelerations,Band-pass,Track geometry,5,"28, 32, 48, 53, 102"
Car-body accelerations,Band-pass,Longitudinal level,3,"32, 48, 102"
Car-body accelerations,Band-pass,Alignment,3,"32, 48, 53"
Car-body accelerations,Band-pass,Cant,1,53
Car-body accelerations,Butterworth filter,Track geometry,1,32
